"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2015","Kristopher Negron","Reds","43","93","107","13","11","2","0","0","5","2","9","0","23","3","0","2","2","2","0",".140","8.4 %","21.5 %","0.39",".238",".161",".399",".022",".186","2","-10.1",".196","3.8","15","0.4","0.2","-0.1","93","106","83","113","13.9 %","61.1 %","25.0 %","26.4 %","43.1 %","30.6 %","0.0 %","5306"
"2018","Eric Sogard","Brewers","55","97","113","13","10","3","0","0","7","2","12","1","23","2","1","1","3","3","0",".134","10.6 %","20.4 %","0.52",".241",".165",".406",".031",".173","2","-11.1",".194","4.6","14","0.5","0.7","0.0","105","118","124","84","34.2 %","51.3 %","14.5 %","25.0 %","38.2 %","36.8 %","0.0 %","7927"
"2018","Blake Trahan","Reds","11","14","14","3","3","0","0","0","2","0","0","0","4","0","0","0","0","0","0",".214","0.0 %","28.6 %","0.00",".214",".214",".429",".000",".300","0","-1.4",".188","2.6","9","0.0","-0.2","0.0","57","0","92","139","30.0 %","40.0 %","30.0 %","40.0 %","30.0 %","30.0 %","0.0 %","17588"
"2019","Tyler Saladino","Brewers","28","65","71","8","6","0","0","2","7","8","5","0","26","1","0","0","1","2","0",".123","7.0 %","36.6 %","0.19",".197",".215",".413",".092",".162","1","-8.2",".187","5.9","7","0.4","0.1","0.2","82","79","85","123","41.0 %","30.8 %","28.2 %","15.4 %","20.5 %","64.1 %","18.2 %","10807"
"2017","Luis Sardinas","Padres","29","49","53","8","8","0","0","0","3","1","4","0","11","0","0","0","1","1","0",".163","7.5 %","20.8 %","0.36",".226",".163",".390",".000",".211","0","-6.1",".185","3.9","8","0.2","0.2","-0.1","52","84","103","137","21.1 %","60.5 %","18.4 %","26.3 %","26.3 %","47.4 %","0.0 %","13153"
"2015","Pete Kozma","Cardinals","76","99","111","15","15","0","0","0","15","2","10","2","21","1","0","1","0","3","1",".152","9.0 %","18.9 %","0.48",".236",".152",".388",".000",".192","1","-11.8",".180","5.3","8","0.2","1.6","0.7","165","113","75","64","10.1 %","65.8 %","24.1 %","36.7 %","41.8 %","21.5 %","0.0 %","2539"
"2014","Hector Gomez","Brewers","15","20","21","3","2","1","0","0","2","1","1","0","9","0","0","0","0","0","0",".150","4.8 %","42.9 %","0.11",".190",".200",".390",".050",".273","0","-2.1",".179","2.6","3","0.0","0.5","0.2","106","61","87","101","27.3 %","27.3 %","45.5 %","27.3 %","18.2 %","54.6 %","0.0 %","2264"
"2014","Jeff Bianchi","Brewers","29","70","74","12","11","1","0","0","4","6","3","0","17","0","1","0","1","0","0",".171","4.1 %","23.0 %","0.18",".203",".186",".388",".014",".222","0","-7.5",".178","1.2","3","-0.1","-0.3","0.1","88","52","90","114","18.5 %","55.6 %","25.9 %","29.6 %","24.1 %","46.3 %","0.0 %","9958"
"2017","Mike Freeman","- - -","19","30","32","4","2","2","0","0","3","0","2","0","10","0","0","0","1","0","0",".133","6.3 %","31.3 %","0.20",".188",".200",".388",".067",".200","0","-3.9",".175","2.6","2","0.0","0.1","-0.1","60","69","128","119","35.0 %","60.0 %","5.0 %","35.0 %","25.0 %","40.0 %","0.0 %","11241"
"2016","Nick Noonan","Padres","7","18","20","3","3","0","0","0","0","1","1","0","5","0","1","0","0","0","1",".167","5.0 %","25.0 %","0.20",".200",".167",".367",".000",".214","0","-2.5",".166","1.8","-3","-0.4","0.0","0.0","168","58","34","80","21.4 %","57.1 %","21.4 %","21.4 %","50.0 %","28.6 %","0.0 %","6880"
"2015","Pedro Florimon","Pirates","24","23","25","2","1","0","1","0","5","1","2","0","12","0","0","0","0","1","0",".087","8.0 %","48.0 %","0.17",".160",".174",".334",".087",".182","0","-3.2",".154","9.4","-11","0.2","0.0","0.2","76","101","58","137","18.2 %","63.6 %","18.2 %","36.4 %","9.1 %","54.6 %","0.0 %","8385"
"2017","Alex Mejia","Cardinals","29","46","49","5","4","0","0","1","6","3","2","0","13","0","0","1","2","0","0",".109","4.1 %","26.5 %","0.15",".146",".174",".320",".065",".125","-1","-7.3",".143","2.6","-18","0.0","0.4","-0.3","69","45","59","144","17.7 %","61.8 %","20.6 %","23.5 %","44.1 %","32.4 %","12.5 %","13877"
"2016","Jose Rondon","Padres","8","25","26","3","3","0","0","0","1","1","1","0","4","0","0","0","1","0","0",".120","3.8 %","15.4 %","0.25",".154",".120",".274",".000",".143","-1","-4.1",".128","1.1","-29","0.0","0.2","-0.1","84","45","45","139","9.5 %","66.7 %","23.8 %","28.6 %","42.9 %","28.6 %","0.0 %","14140"
"2015","Yadiel Rivera","Brewers","7","14","15","1","1","0","0","0","0","0","0","0","4","0","0","1","0","0","0",".071","0.0 %","26.7 %","0.00",".071",".071",".143",".000",".100","-1","-3.0",".063","0.1","-77","0.0","0.0","0.2","60","0","0","176","0.0 %","63.6 %","36.4 %","27.3 %","0.0 %","72.7 %","0.0 %","11863"
"2014","Cristhian Adames","Rockies","7","15","15","1","1","0","0","0","1","0","0","0","5","0","0","0","1","0","0",".067","0.0 %","33.3 %","0.00",".067",".067",".133",".000",".100","-1","-2.9",".059","2.6","-92","0.0","0.0","-0.1","29","0","95","156","10.0 %","50.0 %","40.0 %","40.0 %","20.0 %","40.0 %","0.0 %","6013"
"2017","Cristhian Adames","Rockies","12","13","14","0","0","0","0","0","1","0","1","0","6","0","0","0","0","0","0",".000","7.1 %","42.9 %","0.17",".071",".000",".071",".000",".000","-1","-3.2",".049","2.6","-97","0.0","0.0","0.1","203","79","70","32","14.3 %","57.1 %","28.6 %","28.6 %","57.1 %","14.3 %","0.0 %","6013"
"2014","Ronny Cedeno","Phillies","7","9","9","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","0.0 %","22.2 %","0.00",".000",".000",".000",".000",".000","-1","-2.1",".000","0.1","-100","0.0","0.0","0.0","42","0","0","191","14.3 %","57.1 %","28.6 %","14.3 %","28.6 %","57.1 %","0.0 %","2179"
"2014","Chase d'Arnaud","Pirates","8","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2",".000","0.0 %","0.0 %","0.00",".000",".000",".000",".000",".000","0","0.0",".000","0.0","","-0.8","0.0","0.0","","","","","","","","","","","0.0 %","6652"
"2014","Wilfredo Tovar","Mets","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","0.0 %","0.0 %","0.00",".000",".000",".000",".000",".000","0","-0.7",".000","0.1","-100","0.0","0.0","0.0","98","0","0","149","0.0 %","66.7 %","33.3 %","0.0 %","66.7 %","33.3 %","0.0 %","10416"
"2015","Darwin Barney","Dodgers","2","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","0.0 %","0.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.0",".000","0.1","-100","0.0","0.0","0.0","76","0","0","165","0.0 %","75.0 %","25.0 %","0.0 %","25.0 %","75.0 %","0.0 %","2430"
"2017","Jack Reinheimer","Diamondbacks","2","5","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","0.0 %","60.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.4",".000","0.1","-100","0.0","0.0","0.1","142","0","0","113","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","14938"
"2019","Ruben Tejada","Mets","6","9","9","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0",".000","0.0 %","33.3 %","0.00",".000",".000",".000",".000",".000","-1","-2.5",".000","0.1","-100","0.0","0.0","0.0","94","0","77","117","0.0 %","100.0 %","0.0 %","33.3 %","33.3 %","33.3 %","0.0 %","5519"
"2019","Deven Marrero","Marlins","5","5","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","0.0 %","60.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.4",".000","0.1","-100","0.0","0.0","0.0","0","0","230","117","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","13325"
